,All_Type
CYP1B1-MOK,1
GDI2-HNRNPF,0
EXT2-RABIF,0
KRAS-MAPRE1,0
BLM-CBX6,0
RRM1-KRAS,0
BLM-BICD2,0
GRK6-RRM1,0
KRAS-STK35,0
PTPRE-SRC,0
EIF3D-PSMC1,0
POLI-TXNL1,0
CD151-MCFD2,0
COPE-TCF25,0
CDK6-RELA,0
TAF12-PIP5K1A,0
POLD1-PRPF31,0
COPS2-EXOSC9,0
DHX15-HRAS,0
CDC7-BRD4,1
BLM-ATP6V1G1,0
MUS81-CPPED1,0
IMPA1-PTEN,0
MCPH1-PIK3C3,0
RFC5-TMPO,0
EXT2-PTDSS2,0
PUM1-SFPQ,0
LRRC40-RAD51AP1,0
TMEM87A-ZYX,0
AURKA-MAPK14,0
EIF4G1-PTTG1,0
CC2D1A-ZNF787,0
HRAS-NUMB,0
PIK3CD-PIK3CG,0
PRC1-PTPRN2,0
MUS81-ATXN7L1,0
ACTN4-NCEH1,0
BIRC3-PIK3R1,0
PGBD2-RELA,0
PELO-RPLP1,0
BLM-RHOF,0
ZNF33A-KRAS,0
CST3-RBM7,0
NTAN1-TTLL4,0
POLE-RAD23B,0
KRAS-AMD1,0
MLH1-TP53,0
BRAP-ZCCHC8,0
DLST-LEO1,0
E2F1-UBE2C,1
FBXO28-NRAS,0
CSK-PAN2,0
FTSJ2-PDE1B,0
KRAS-ZNHIT3,0
TP53-CDK19,0
BCL6-GNG5,0
LPP-SLC39A13,0
KRAS-TUBGCP3,0
BCKDK-CYP1B1,0
NAE1-NUPR1,0
BLM-RPL5,0
COPS5-POLR2K,0
PTGER2-SSBP1,0
ARHGAP6-IGF2BP3,1
MRPL32-RNGTT,0
MAP2K7-PTGIR,0
CSK-RBMS1,0
COX5A-RPL13,0
MED28-PELO,0
GNPAT-VPS72,0
CIR1-HRAS,0
HRAS-MCPH1,0
GNL3L-PTTG1,0
EXOSC9-POLE,0
DHX34-ZNF574,0
AKT1-CASP9,0
BCL2L2-NAE1,0
CDC26-DCTN4,0
GTPBP4-PPCS,0
HERPUD2-TOMM40,0
COA3-NACA,0
BLM-JUP,0
RBX1-RPL13A,0
KRAS-GGA3,0
KLF10-SH3BGRL3,0
SPHK1-SRC,0
HNRNPU-PARP1,0
PMF1-WDR61,0
LRP10-UBQLN4,0
MTHFD2-TTC4,0
FAM126A-RBM47,0
CAMK2G-GPX1,0
ATRAID-PDIA6,0
TLK2-ATR,0
FLT3-MAPK8,0
