,max_Type,prop
CYP1B1-MOK,2,0.4444444444444444
GDI2-HNRNPF,3,0.48148148148148145
EXT2-RABIF,5,0.4074074074074074
KRAS-MAPRE1,5,0.5925925925925926
BLM-CBX6,4,0.37037037037037035
RRM1-KRAS,5,0.4074074074074074
BLM-BICD2,5,0.48148148148148145
GRK6-RRM1,5,0.4074074074074074
KRAS-STK35,5,0.3333333333333333
PTPRE-SRC,3,0.2962962962962963
EIF3D-PSMC1,5,0.3333333333333333
POLI-TXNL1,3,0.5555555555555556
CD151-MCFD2,5,0.37037037037037035
COPE-TCF25,5,0.37037037037037035
CDK6-RELA,3,0.3333333333333333
TAF12-PIP5K1A,5,0.48148148148148145
POLD1-PRPF31,4,0.3333333333333333
COPS2-EXOSC9,5,0.48148148148148145
DHX15-HRAS,5,0.48148148148148145
CDC7-BRD4,2,0.4444444444444444
BLM-ATP6V1G1,3,0.4444444444444444
MUS81-CPPED1,4,0.2962962962962963
IMPA1-PTEN,5,0.48148148148148145
MCPH1-PIK3C3,5,0.4074074074074074
RFC5-TMPO,5,0.2962962962962963
EXT2-PTDSS2,3,0.4074074074074074
PUM1-SFPQ,5,0.4444444444444444
LRRC40-RAD51AP1,1,0.25925925925925924
TMEM87A-ZYX,3,0.4444444444444444
AURKA-MAPK14,5,0.3333333333333333
EIF4G1-PTTG1,4,0.2962962962962963
CC2D1A-ZNF787,5,0.5185185185185185
HRAS-NUMB,5,0.4074074074074074
PIK3CD-PIK3CG,5,0.3333333333333333
PRC1-PTPRN2,5,0.2962962962962963
MUS81-ATXN7L1,5,0.48148148148148145
ACTN4-NCEH1,5,0.37037037037037035
BIRC3-PIK3R1,3,0.37037037037037035
PGBD2-RELA,4,0.3333333333333333
PELO-RPLP1,3,0.2962962962962963
BLM-RHOF,4,0.3333333333333333
ZNF33A-KRAS,5,0.3333333333333333
CST3-RBM7,3,0.37037037037037035
NTAN1-TTLL4,5,0.4074074074074074
POLE-RAD23B,2,0.2962962962962963
KRAS-AMD1,5,0.4074074074074074
MLH1-TP53,5,0.4444444444444444
BRAP-ZCCHC8,5,0.37037037037037035
DLST-LEO1,4,0.4074074074074074
E2F1-UBE2C,6,0.7037037037037037
FBXO28-NRAS,5,0.48148148148148145
CSK-PAN2,4,0.3333333333333333
FTSJ2-PDE1B,3,0.3333333333333333
KRAS-ZNHIT3,5,0.48148148148148145
TP53-CDK19,3,0.3333333333333333
BCL6-GNG5,3,0.48148148148148145
LPP-SLC39A13,5,0.37037037037037035
KRAS-TUBGCP3,5,0.4074074074074074
BCKDK-CYP1B1,5,0.37037037037037035
NAE1-NUPR1,3,0.25925925925925924
BLM-RPL5,3,0.37037037037037035
COPS5-POLR2K,5,0.37037037037037035
PTGER2-SSBP1,5,0.4074074074074074
ARHGAP6-IGF2BP3,2,0.5555555555555556
MRPL32-RNGTT,5,0.37037037037037035
MAP2K7-PTGIR,3,0.2962962962962963
CSK-RBMS1,5,0.4074074074074074
COX5A-RPL13,4,0.37037037037037035
MED28-PELO,5,0.4074074074074074
GNPAT-VPS72,5,0.4444444444444444
CIR1-HRAS,4,0.3333333333333333
HRAS-MCPH1,5,0.4444444444444444
GNL3L-PTTG1,3,0.2962962962962963
EXOSC9-POLE,2,0.2962962962962963
DHX34-ZNF574,5,0.4444444444444444
AKT1-CASP9,5,0.4074074074074074
BCL2L2-NAE1,4,0.2962962962962963
CDC26-DCTN4,5,0.48148148148148145
GTPBP4-PPCS,5,0.37037037037037035
HERPUD2-TOMM40,5,0.37037037037037035
COA3-NACA,3,0.3333333333333333
BLM-JUP,5,0.37037037037037035
RBX1-RPL13A,3,0.37037037037037035
KRAS-GGA3,5,0.48148148148148145
KLF10-SH3BGRL3,5,0.4074074074074074
SPHK1-SRC,5,0.4074074074074074
HNRNPU-PARP1,5,0.37037037037037035
PMF1-WDR61,5,0.48148148148148145
LRP10-UBQLN4,5,0.4444444444444444
MTHFD2-TTC4,3,0.4074074074074074
FAM126A-RBM47,5,0.37037037037037035
CAMK2G-GPX1,3,0.37037037037037035
ATRAID-PDIA6,5,0.4074074074074074
TLK2-ATR,3,0.3333333333333333
FLT3-MAPK8,3,0.2962962962962963
MTPAP-RPL10,3,0.2962962962962963
ERH-SLC39A9,3,0.2962962962962963
ACAD9-IQGAP1,4,0.2962962962962963
HERC5-MCM5,4,0.4444444444444444
KRAS-FH,5,0.37037037037037035
PLXNB2-CTNND1,4,0.4074074074074074
GINS4-PTTG1,4,0.3333333333333333
PLEKHG2-SLC15A2,2,0.4074074074074074
HRAS-MDH2,3,0.3333333333333333
POLR2L-AP2S1,5,0.37037037037037035
MAP1S-PGLS,3,0.3333333333333333
MUS81-CPSF4,5,0.4074074074074074
GEMIN6-MRPS7,5,0.37037037037037035
HDAC7-NRAS,5,0.48148148148148145
KRAS-BAZ2B,5,0.4444444444444444
PSMC3-PTK2,5,0.4074074074074074
DBT-HRAS,5,0.3333333333333333
FKBP7-IARS2,5,0.4074074074074074
PTGIR-TRA2B,3,0.3333333333333333
NAE1-UBE2D4,5,0.3333333333333333
MRPL10-PSMD12,5,0.4074074074074074
PIK3CA-TSSC1,5,0.48148148148148145
NAE1-PCMTD2,4,0.37037037037037035
SRSF7-TUBGCP3,5,0.3333333333333333
NUP50-ZYX,3,0.3333333333333333
HRAS-NDUFS4,5,0.5185185185185185
PIK3CA-PIK3CB,5,0.48148148148148145
ATP5L-IGF2BP2,3,0.5185185185185185
MANEA-CREB1,3,0.2962962962962963
STRADA-NRAS,5,0.4444444444444444
EXOSC9-OGFOD1,5,0.4074074074074074
HRAS-PTPN1,5,0.37037037037037035
PARP8-S100A11,3,0.4074074074074074
FAAP100-ZNF335,5,0.37037037037037035
FEZ2-MYC,5,0.48148148148148145
BRMS1-HSD11B1,2,0.4444444444444444
CASP3-TIMM8A,5,0.37037037037037035
SLA-TP53,5,0.4444444444444444
SOCS1-TP53,3,0.25925925925925924
CHEK1-RRM1,2,0.4444444444444444
NRAS-SMURF2,5,0.5185185185185185
PTPN12-RCE1,5,0.3333333333333333
KCTD20-SLC1A5,5,0.4074074074074074
KIF23-PBX2,2,0.5185185185185185
TCOF1-TTC4,4,0.2962962962962963
KRAS-RAD1,5,0.4444444444444444
CAPN2-CAST,5,0.48148148148148145
CASP8-CITED2,5,0.4074074074074074
MED21-TBL1XR1,5,0.3333333333333333
CAPZB-TUBGCP3,3,0.2962962962962963
AURKA-HSPA5,5,0.4444444444444444
BLM-CARS2,5,0.48148148148148145
IL1A-NAE1,3,0.5185185185185185
BCL2L1-CLDND1,5,0.4074074074074074
ERCC3-NAE1,5,0.37037037037037035
CASK-PPP1CC,5,0.2962962962962963
MDM2-RRM1,5,0.37037037037037035
PSMD1-UQCRB,3,0.3333333333333333
BCL2L12-SAE1,5,0.37037037037037035
SPAG7-TRNAU1AP,5,0.37037037037037035
ATF7-SH3BGRL3,5,0.4444444444444444
LY6E-MFSD9,2,0.3333333333333333
SH3BGRL3-DRAP1,5,0.4074074074074074
BCL2L1-HRAS,5,0.37037037037037035
DLD-MRPS35,3,0.37037037037037035
MEF2C-S100A11,3,0.3333333333333333
BAZ1A-HLX,3,0.37037037037037035
GAPDH-PFKL,3,0.5185185185185185
CSK-TARBP1,4,0.3333333333333333
NAE1-NCLN,5,0.37037037037037035
ARGLU1-MRPL18,4,0.2962962962962963
MAP3K6-NUP155,3,0.4074074074074074
KRAS-PHF20,5,0.4444444444444444
CSNK1G3-PPP2CA,5,0.37037037037037035
EXOSC9-MASTL,5,0.4444444444444444
AURKA-RPS28,3,0.4444444444444444
KRAS-IPO11,5,0.4074074074074074
KRAS-CENPK,2,0.37037037037037035
BCL2L11-MYC,3,0.37037037037037035
BRD2-NDUFB1,3,0.2962962962962963
LLPH-NBL1,1,0.3333333333333333
MRPL46-TTC4,5,0.5555555555555556
TPM1-PTEN,5,0.4444444444444444
PTEN-PHLPP2,5,0.25925925925925924
HRAS-MMEL1,2,0.5185185185185185
COG3-RBBP8,5,0.4444444444444444
FLYWCH1-KRAS,5,0.48148148148148145
LUZP1-PARP12,5,0.4074074074074074
ROMO1-VPS72,5,0.4074074074074074
PTTG1-ZWINT,4,0.25925925925925924
EBI3-POM121,3,0.48148148148148145
EIF3C-SPAG7,5,0.4444444444444444
MRPL50-TUBGCP3,5,0.4074074074074074
COX16-MAPKAP1,5,0.4444444444444444
MRPS5-SNTB1,4,0.2962962962962963
LLPH-ZNF71,1,0.3333333333333333
NUP54-SSBP1,5,0.4444444444444444
PSAP-CTSB,3,0.3333333333333333
COG3-SCYL1,5,0.48148148148148145
TBCD-KRAS,5,0.5185185185185185
RRM1-USP1,5,0.4444444444444444
RPN1-SLC27A1,5,0.3333333333333333
HDAC7-NCOA2,5,0.37037037037037035
ABCC10-HERC5,4,0.2962962962962963
LRRC42-POMC,5,0.4074074074074074
CSK-ZNF175,1,0.4074074074074074
BLM-KDM8,2,0.5185185185185185
ZNF567-ZNF573,1,0.2962962962962963
KRAS-ZNF570,2,0.37037037037037035
PPP2R1A-VPS29,5,0.37037037037037035
BCL2L1-CERK,5,0.37037037037037035
NCAPG2-ZBTB16,5,0.25925925925925924
RTP4-BRCA1,2,0.18518518518518517
BRMS1-LXN,5,0.37037037037037035
HRAS-TTC21B,5,0.4444444444444444
MED23-RPL5,4,0.37037037037037035
MUS81-AP1S1,5,0.4074074074074074
MUS81-NAPB,3,0.25925925925925924
PARP1-UNG,4,0.2962962962962963
HRAS-PDCD5,3,0.2962962962962963
ITPA-MRPS26,5,0.4444444444444444
HRAS-XPO1,5,0.37037037037037035
FLT1-RRM1,5,0.4444444444444444
CARD6-SLC3A2,5,0.4444444444444444
PTTG1-APOOL,4,0.3333333333333333
HNRNPA2B1-SAMD8,5,0.4074074074074074
KRAS-SEMA3C,5,0.48148148148148145
CD3E-NAE1,2,0.2962962962962963
FOXK1-KIF17,2,0.37037037037037035
HRAS-TUBGCP3,5,0.37037037037037035
MBTPS2-TTC4,5,0.48148148148148145
NACA-TUBGCP3,4,0.3333333333333333
CEP152-NDUFB2,5,0.37037037037037035
GTPBP8-TSC22D3,4,0.3333333333333333
BID-POLD4,3,0.37037037037037035
ATM-FEN1,5,0.2962962962962963
CCDC59-NLRP12,4,0.2222222222222222
HRAS-NCOA6,5,0.5185185185185185
TOP3A-PALB2,2,0.4074074074074074
CDC25B-PHIP,5,0.37037037037037035
NSUN4-TRIB3,5,0.48148148148148145
BIRC3-DNTTIP1,3,0.4444444444444444
CPSF1-JAK1,3,0.2962962962962963
MAP2K4-WRN,5,0.4074074074074074
CUX1-PARP1,4,0.2962962962962963
TRRAP-TUBGCP3,3,0.37037037037037035
GPR157-HRAS,3,0.4074074074074074
