gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	MT-CD45-	MT-Lymphoid-B	MT-Lymphoid-T-NK	MT-MAST	MT-Myeloid	PT-CD45-	PT-Lymphoid-B	PT-Lymphoid-T-NK	PT-MAST	PT-Myeloid
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.057	0.017	0.025	0.0	0.045	0.257	0.067	0.051	0.079	0.071
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.057	0.017	0.025	0.0	0.045	0.257	0.067	0.051	0.079	0.071
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.057	0.017	0.025	0.0	0.045	0.257	0.067	0.051	0.079	0.071
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.057	0.017	0.025	0.0	0.045	0.257	0.067	0.051	0.079	0.071
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.057	0.011	0.025	0.0	0.026	0.082	0.007	0.014	0.0	0.012
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.057	0.011	0.025	0.0	0.026	0.082	0.007	0.014	0.0	0.012
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.057	0.011	0.025	0.0	0.026	0.082	0.007	0.014	0.0	0.012
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.057	0.011	0.025	0.0	0.026	0.082	0.007	0.014	0.0	0.012
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.057	0.011	0.025	0.0	0.026	0.082	0.007	0.014	0.0	0.012
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.057	0.011	0.025	0.0	0.026	0.082	0.007	0.014	0.0	0.012
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.057	0.011	0.025	0.0	0.026	0.082	0.007	0.014	0.0	0.012
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.03	0.0	0.006	0.0	0.009	0.04	0.013	0.007	0.039	0.014
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.03	0.0	0.006	0.0	0.009	0.04	0.013	0.007	0.039	0.014
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.03	0.0	0.006	0.0	0.009	0.04	0.013	0.007	0.039	0.014
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.03	0.0	0.006	0.0	0.009	0.04	0.013	0.007	0.039	0.014
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.03	0.0	0.006	0.0	0.009	0.04	0.013	0.007	0.039	0.014
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.03	0.0	0.006	0.0	0.009	0.04	0.013	0.007	0.039	0.014
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.03	0.0	0.006	0.0	0.009	0.04	0.013	0.007	0.039	0.014
