id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	MT-CD45-|MT-CD45-	MT-CD45-|MT-Lymphoid-B	MT-CD45-|MT-Lymphoid-T-NK	MT-CD45-|MT-MAST	MT-CD45-|MT-Myeloid	MT-CD45-|PT-CD45-	MT-CD45-|PT-Lymphoid-B	MT-CD45-|PT-Lymphoid-T-NK	MT-CD45-|PT-MAST	MT-CD45-|PT-Myeloid	MT-Lymphoid-B|MT-CD45-	MT-Lymphoid-B|MT-Lymphoid-B	MT-Lymphoid-B|MT-Lymphoid-T-NK	MT-Lymphoid-B|MT-MAST	MT-Lymphoid-B|MT-Myeloid	MT-Lymphoid-B|PT-CD45-	MT-Lymphoid-B|PT-Lymphoid-B	MT-Lymphoid-B|PT-Lymphoid-T-NK	MT-Lymphoid-B|PT-MAST	MT-Lymphoid-B|PT-Myeloid	MT-Lymphoid-T-NK|MT-CD45-	MT-Lymphoid-T-NK|MT-Lymphoid-B	MT-Lymphoid-T-NK|MT-Lymphoid-T-NK	MT-Lymphoid-T-NK|MT-MAST	MT-Lymphoid-T-NK|MT-Myeloid	MT-Lymphoid-T-NK|PT-CD45-	MT-Lymphoid-T-NK|PT-Lymphoid-B	MT-Lymphoid-T-NK|PT-Lymphoid-T-NK	MT-Lymphoid-T-NK|PT-MAST	MT-Lymphoid-T-NK|PT-Myeloid	MT-MAST|MT-CD45-	MT-MAST|MT-Lymphoid-B	MT-MAST|MT-Lymphoid-T-NK	MT-MAST|MT-MAST	MT-MAST|MT-Myeloid	MT-MAST|PT-CD45-	MT-MAST|PT-Lymphoid-B	MT-MAST|PT-Lymphoid-T-NK	MT-MAST|PT-MAST	MT-MAST|PT-Myeloid	MT-Myeloid|MT-CD45-	MT-Myeloid|MT-Lymphoid-B	MT-Myeloid|MT-Lymphoid-T-NK	MT-Myeloid|MT-MAST	MT-Myeloid|MT-Myeloid	MT-Myeloid|PT-CD45-	MT-Myeloid|PT-Lymphoid-B	MT-Myeloid|PT-Lymphoid-T-NK	MT-Myeloid|PT-MAST	MT-Myeloid|PT-Myeloid	PT-CD45-|MT-CD45-	PT-CD45-|MT-Lymphoid-B	PT-CD45-|MT-Lymphoid-T-NK	PT-CD45-|MT-MAST	PT-CD45-|MT-Myeloid	PT-CD45-|PT-CD45-	PT-CD45-|PT-Lymphoid-B	PT-CD45-|PT-Lymphoid-T-NK	PT-CD45-|PT-MAST	PT-CD45-|PT-Myeloid	PT-Lymphoid-B|MT-CD45-	PT-Lymphoid-B|MT-Lymphoid-B	PT-Lymphoid-B|MT-Lymphoid-T-NK	PT-Lymphoid-B|MT-MAST	PT-Lymphoid-B|MT-Myeloid	PT-Lymphoid-B|PT-CD45-	PT-Lymphoid-B|PT-Lymphoid-B	PT-Lymphoid-B|PT-Lymphoid-T-NK	PT-Lymphoid-B|PT-MAST	PT-Lymphoid-B|PT-Myeloid	PT-Lymphoid-T-NK|MT-CD45-	PT-Lymphoid-T-NK|MT-Lymphoid-B	PT-Lymphoid-T-NK|MT-Lymphoid-T-NK	PT-Lymphoid-T-NK|MT-MAST	PT-Lymphoid-T-NK|MT-Myeloid	PT-Lymphoid-T-NK|PT-CD45-	PT-Lymphoid-T-NK|PT-Lymphoid-B	PT-Lymphoid-T-NK|PT-Lymphoid-T-NK	PT-Lymphoid-T-NK|PT-MAST	PT-Lymphoid-T-NK|PT-Myeloid	PT-MAST|MT-CD45-	PT-MAST|MT-Lymphoid-B	PT-MAST|MT-Lymphoid-T-NK	PT-MAST|MT-MAST	PT-MAST|MT-Myeloid	PT-MAST|PT-CD45-	PT-MAST|PT-Lymphoid-B	PT-MAST|PT-Lymphoid-T-NK	PT-MAST|PT-MAST	PT-MAST|PT-Myeloid	PT-Myeloid|MT-CD45-	PT-Myeloid|MT-Lymphoid-B	PT-Myeloid|MT-Lymphoid-T-NK	PT-Myeloid|MT-MAST	PT-Myeloid|MT-Myeloid	PT-Myeloid|PT-CD45-	PT-Myeloid|PT-Lymphoid-B	PT-Myeloid|PT-Lymphoid-T-NK	PT-Myeloid|PT-MAST	PT-Myeloid|PT-Myeloid
CPI-SS0A7B487D4	KLRG2_WNT11	simple:A4D1S0	simple:O96014	KLRG2	WNT11	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.004	0.0	0.0	0.012	0.003	0.004	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.005	0.0	0.0	0.014	0.004	0.005	0.017	0.0
CPI-SS0FEC87269	KLRG2_TNFSF9	simple:A4D1S0	simple:P41273	KLRG2	TNFSF9	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.112	0.064	0.0	0.042	0.068	0.192	0.172	0.121	0.221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.114	0.066	0.0	0.044	0.07	0.194	0.174	0.123	0.223
CPI-SS028784FC6	HLA-DPA1_TNFSF9	simple:HLADPA1	simple:P41273	HLA-DPA1	TNFSF9	True	True	False	InnateDB-All	False	0.091	0.166	0.118	0.0	0.096	0.122	0.246	0.226	0.175	0.275	1.133	1.208	1.16	0.0	1.138	1.164	1.288	1.268	1.217	1.317	0.677	0.752	0.704	0.0	0.682	0.708	0.832	0.812	0.761	0.861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.228	1.302	1.254	0.0	1.232	1.258	1.382	1.362	1.311	1.412	0.216	0.29	0.242	0.0	0.22	0.246	0.37	0.35	0.299	0.4	0.815	0.89	0.842	0.0	0.82	0.846	0.97	0.95	0.899	0.999	0.676	0.75	0.702	0.0	0.68	0.706	0.83	0.81	0.759	0.86	0.461	0.536	0.488	0.0	0.466	0.492	0.616	0.596	0.545	0.645	1.133	1.208	1.16	0.0	1.138	1.164	1.288	1.268	1.217	1.317
CPI-SS00A8596B5	PVR_TNFSF9	simple:P15151	simple:P41273	PVR	TNFSF9	True	True	False	InnateDB-All	False	0.152	0.227	0.178	0.0	0.156	0.182	0.306	0.286	0.235	0.336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.111	0.063	0.0	0.041	0.067	0.191	0.171	0.12	0.221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.118	0.07	0.0	0.048	0.074	0.198	0.178	0.127	0.228	0.113	0.188	0.14	0.0	0.118	0.144	0.268	0.248	0.197	0.297	0.038	0.112	0.064	0.0	0.042	0.068	0.192	0.172	0.121	0.222	0.037	0.112	0.064	0.0	0.042	0.068	0.192	0.172	0.121	0.221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.162	0.114	0.0	0.092	0.117	0.242	0.221	0.171	0.271
CPI-SS044DF8749	KLRG2_WNT5B	simple:A4D1S0	simple:Q9H1J7	KLRG2	WNT5B	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.012	0.062	0.018	0.002	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.013	0.064	0.02	0.004	0.0	0.009
CPI-SS072B19293	HLA-DPA1_GAL	simple:HLADPA1	simple:P22466	HLA-DPA1	GAL	True	True	False	InnateDB-All	False	0.059	0.0	0.0	0.0	0.057	0.059	0.0	0.0	0.0	0.0	1.101	0.0	0.0	0.0	1.099	1.101	0.0	0.0	0.0	0.0	0.645	0.0	0.0	0.0	0.643	0.645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.196	0.0	0.0	0.0	1.193	1.196	0.0	0.0	0.0	0.0	0.184	0.0	0.0	0.0	0.181	0.184	0.0	0.0	0.0	0.0	0.783	0.0	0.0	0.0	0.781	0.783	0.0	0.0	0.0	0.0	0.644	0.0	0.0	0.0	0.641	0.644	0.0	0.0	0.0	0.0	0.429	0.0	0.0	0.0	0.427	0.429	0.0	0.0	0.0	0.0	1.101	0.0	0.0	0.0	1.099	1.102	0.0	0.0	0.0	0.0
CPI-SS0F8ABC300	GALR2_GAL	simple:O43603	simple:P22466	GALR2	GAL	True	True	False	guidetopharmacology.org	False	0.005	0.0	0.0	0.0	0.002	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.006	0.008	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.002	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.007	0.01	0.0	0.0	0.0	0.0
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	PVR	CD96	True	True	True	curated	False	0.129	0.232	0.8	0.0	0.358	0.143	0.261	0.831	0.149	0.281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.117	0.685	0.0	0.243	0.028	0.146	0.715	0.034	0.166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.124	0.692	0.0	0.25	0.035	0.153	0.722	0.041	0.173	0.09	0.193	0.762	0.0	0.32	0.105	0.222	0.792	0.111	0.243	0.015	0.118	0.686	0.0	0.244	0.029	0.147	0.716	0.035	0.167	0.014	0.117	0.686	0.0	0.244	0.029	0.146	0.716	0.035	0.167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.167	0.735	0.0	0.293	0.079	0.196	0.766	0.085	0.216
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	PVR	CD226	True	True	True	curated	False	0.121	0.122	0.251	0.0	0.176	0.119	0.146	0.267	0.203	0.161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.007	0.136	0.0	0.061	0.004	0.031	0.152	0.088	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.014	0.143	0.0	0.068	0.011	0.038	0.159	0.095	0.053	0.082	0.083	0.212	0.0	0.137	0.081	0.108	0.228	0.164	0.123	0.007	0.008	0.137	0.0	0.062	0.005	0.032	0.153	0.089	0.047	0.006	0.007	0.136	0.0	0.061	0.005	0.032	0.152	0.088	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.057	0.186	0.0	0.111	0.054	0.082	0.202	0.138	0.096
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	PVR	TIGIT	True	True	False	curated	False	0.12	0.137	0.248	0.0	0.155	0.129	0.18	0.4	0.0	0.194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.022	0.132	0.0	0.04	0.014	0.064	0.285	0.0	0.079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.029	0.139	0.0	0.046	0.02	0.071	0.292	0.0	0.086	0.081	0.098	0.209	0.0	0.116	0.09	0.141	0.361	0.0	0.155	0.006	0.023	0.134	0.0	0.041	0.015	0.065	0.286	0.0	0.08	0.005	0.022	0.133	0.0	0.04	0.014	0.065	0.285	0.0	0.079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.072	0.183	0.0	0.09	0.064	0.115	0.335	0.0	0.129
