gene1,gene2
ITGB1,BCL2
ANXA5,DUSP18
CYBA,ZFP36L1
CTSC,S100A11
CTSD,WIPI2
SATB2,ITGB1
MYH9,DUSP18
ROCK1,ITGB1
CLIP3,ITGB1
ACTN4,PRKAB2
CD180,S100A11
FGF5,ITGB1
ITGB1,IRX5
LGALS1,SIM2
RASGRP3,S100A11
ITGB1,KLHL40
ITGB1,SYT3
ATXN1,ITGB1
ZNF3,ZFP36L1
PTCD1,ZFP36L1
SRGN,S100A11
KMT2C,ITGB1
LGALS1,GDNF
ITGB1,KCNQ5
LGALS3BP,ERBIN
ITGB1,SCUBE2
UBE3C,ITGB1
GNAS,PDGFRB
ITGB1,CCR4
HBEGF,S100A11
ITGB1,C2CD2L
CIT,ITGB1
ITGB1,IRX3
ITGB1,SERPINB4
GNAS,ZFP36L1
ASB10,ITGB1
MYH9,HOXB8
RNF10,TNFRSF11B
PICALM,EDEM2
GSTP1,NFATC4
LAPTM4A,S100A10
TPM3,ITGB1
PROCR,S100A6
ITGB1,UBN2
S100A11,LRRC8C
RNF10,TXNDC15
MAZ,ZFP36L1
INSR,ZFP36L1
PRKCSH,KLK5
PYGB,SPTLC3
MBOAT7,HSPB8
ITGB1,PDLIM3
ITGB1,SLITRK5
PKN1,KLF10
ITGB1,SHH
CAPNS1,MED16
ERBIN,SH3BGRL3
CRTC1,ITGB1
USP22,SERPINH1
FKBP14,ACTN4
MYH9,ABCG4
VAMP3,GRK6
ITGB1,ZNF528
PPP1R3C,ITGB1
RNF11,P4HB
HOXB8,CTSB
KDELR1,MYL12B
ANO1,RNPEP
RNF10,GAS6
PRKAB2,SERPINH1
GNAS,IGFBP6
PICALM,MMP14
PML,S100A11
ITPRIP,S100A11
UBE2Q1,ZFP36L1
FLI1,S100A11
LAPTM4A,PLK2
MPDU1,CD63
PIKFYVE,ITGB1
KDM1A,RNF167
CCNF,CRK
MMP11,CRK
RBM26,LMNA
PARP12,ITGB1
TRPC4AP,KLHL40
ITGB1,SYNGAP1
LGALS1,RGS20
ITGB1,OTUD7B
PICALM,ELMOD1
GSTP1,RGS4
ITGB1,TBC1D16
ZNF330,ITGB1
S100A11,ITGAM
TRIM3,ITGB1
ZFP36L1,MCRS1
TRPC4AP,PTPRA
LYL1,S100A11
FSTL3,CAPNS1
KRT16,PNRC2
SDCBP,FOSL1
CD63,FGD6
RNF10,CCNG1
ITGB1,ABCA1
ITGB1,MEX3D
LAPTM4A,HSD3B1
MTCH1,ANXA2
NLRC5,S100A11
ITGB1,HIF1AN
LAPTM4A,PPP1R3C
PYGO2,ZFP36L1
TNIP1,S100A11
SETD7,ITGB1
LAPTM5,S100A11
TIMP2,PICALM
LAPTM4A,THBS1
CAPNS1,SDC3
MTR,ITGB1
TACR2,ITGB1
GSTP1,GSC
VNN1,PNRC2
SYNCRIP,HES4
EXT2,PTDSS2
ITGB1,SFMBT1
S100A9,LRFN4
RNF10,HIGD2A
ANXA5,SYK
VIM,MFSD2A
S100A11,IQCF5
HPS1,S100A11
EIF4H,DNER
S100A10,GNG10
DIRAS3,P4HB
NABP2,GNG12
GNPAT,ARHGAP23
TRIM28,TMEM173
RBMS2,DNAJB1
SDCBP,SIAH2
RLF,SQSTM1
NMNAT1,P4HB
CTTN,TCF12
RNF10,IFT57
PICALM,FGF5
IL1RL1,S100A11
SERINC3,SLC7A7
SH3BGRL3,B2M
ITGB1,EPG5
SLC2A1,SDCBP
EZH2,CRK
PRKCSH,CACNG6
RNF10,PCDHGA5
SDCBP,TMEM87B
CD74,SH3BGRL3
MTCH2,ZYX
CHEK2,GPX1
ADAM11,ITGB1
SDCBP,PLXNB2
TWSG1,S100A10
TTPAL,PLXNB2
PAX4,ITGB1
SERF2,BEST1
EIF4H,RCE1
PPARG,FTH1
DOCK2,S100A11
TRPC4AP,OTOR
GOLGA3,ITGB1
GNAS,PPP1R3C
ITGB1,PTCHD4
RNF24,ACTN4
CD63,PHLDA2
RNF10,GLIPR2
PICALM,SCAMP4
GNPAT,ZFP36L1
BIN2,S100A11
GSTP1,FGL1
ACTN4,DUSP18
GCK,RARS
RNF10,PAX8
RNF10,TRIM11
ACTN4,EXT2
MRPL24,TM4SF1
CSDE1,RCN3
TFPI,CAPNS1
PICALM,EFNA2
TRPC4AP,HSD3B1
NR5A1,CYFIP1
TM7SF3,CLIC1
VRK1,NUCB1
RNF10,OR2G6
ITGB1,HSPB8
S100A11,TMEM173
CSDE1,PLXNB2
MAN1C1,P4HB
ITGB1,DCHS1
ERBIN,SLC39A13
FKBP8,TSC22D2
MRPL37,B2M
ITGB1,CLCNKA
RNF24,NUCB1
GNAS,PCDHA12
PRSS33,PTPN1
HIF1A,PINK1
AEBP1,PCMTD2
EEF1D,NAB2
SLC19A2,CRK
GSTP1,S100A6
KDELR1,UBE2V1
GADD45B,BIRC2
DSC3,ITGB1
PICALM,ABCB9
GADD45B,NCSTN
LATS2,BSG
POC1B,ANXA5
CYP19A1,CRK
C1ORF158,S100A11
RAB3GAP2,ITGB1
GADD45B,SDCBP
YWHAZ,RAB3B
MYDGF,CST3
CD248,S100A6
RBM15,GPX1
LAPTM4A,BIRC2
